iter	RMSE
486	268.0585215
487	268.0081411
488	267.3067839
489	266.8651394
490	266.6328427
491	266.2487625
492	265.9536638
493	265.59879
494	265.5573338
495	265.2108794
496	264.8734291
497	264.6302041
498	264.1610849
499	263.4796334
500	262.9262894
501	262.4119862
502	261.8015287
503	261.4101262
504	260.6242122
505	260.1969669
506	260.0207525
507	259.7168598
508	259.2957417
509	258.8904926
510	258.5360437
511	258.1959565
512	257.7528744
513	257.5714455
514	257.317471
515	256.9785086
516	256.4159672
517	255.7155693
518	255.3919903
519	255.0819498
520	254.7855358
521	254.4971806
522	253.752841
523	253.4669121
524	252.8664524
525	252.8001
526	252.5859699
527	252.2415169
528	252.0071076
529	251.9641367
530	251.6909852
531	251.260885
532	251.0340708
533	250.4524148
534	250.1527322
535	249.6599006
536	249.3982111
537	248.977873
538	248.3297088
539	248.0389274
540	247.5526907
541	247.2997144
542	246.7786269
543	246.3491219
544	246.0464678
545	245.7640798
546	245.1790928
547	244.8531466
548	244.483696
549	244.0637652
550	243.6576644
551	243.1637749
552	242.8382242
553	242.5434035
554	242.2663961
555	241.6892592
556	241.5441227
557	241.3251966
558	241.0254224
559	240.6908569
560	240.6494504
561	240.2666312
562	240.0453111
563	239.5402044
564	238.8562345
565	238.5694994
566	238.2503276
567	237.8016972
568	237.757406
569	237.4832407
570	236.8128644
571	236.5328414
572	236.2106653
573	236.1669026
574	235.9273365
575	235.5719716
576	235.270761
577	234.9938153
578	234.6408119
579	234.6062072
580	234.3580315
581	234.0510742
582	233.5815787
583	233.2419407
584	232.8620378
585	232.4964917
586	232.1373772
587	232.0443621
588	231.8574404
589	231.5309675
590	231.2995938
591	230.9658128
592	230.6993342
593	230.1740722
594	229.7589641
595	229.3692193
596	228.7804783
597	228.4853552
598	227.9340917
599	227.7542611
600	227.3609957
601	226.8158157
602	226.5960821
603	226.3458397
604	226.1661754
605	225.7295178
606	225.188354
607	224.855029
608	224.6007773
609	224.2600058
610	223.9321036
611	223.8494842
612	223.7749329
613	223.1726003
614	222.8304159
615	222.5146033
616	222.2673622
617	222.0350091
618	221.9328127
619	221.6320586
620	221.3802114
621	221.1121419
622	220.7030645
623	220.36067
624	219.9401962
625	219.5162236
626	219.2943004
627	218.9035294
628	218.8548236
629	218.5882462
630	218.3186971
631	218.0084229
632	217.7962191
633	217.5712031
634	217.2306562
635	217.1683874
636	216.8305145
637	216.426032
638	216.2631007
639	215.8713776
640	215.6289458
641	215.3807557
642	215.1528801
643	214.8283211
644	214.3828086
645	214.079365
646	213.8563772
647	213.6575021
648	213.6037419
649	213.3745028
650	213.1698864
651	212.9559424
652	212.8162398
653	212.7791318
654	212.4034626
655	212.1625601
656	212.0217966
657	211.6930481
658	211.3920983
659	211.1100377
660	210.7419363
661	210.7013125
662	210.4955977
663	210.1729728
664	209.87068
665	209.5948012
666	209.0496124
667	208.8952473
668	208.5476275
669	208.3197826
670	208.1435789
671	207.9472602
672	207.7753903
673	207.5987737
674	207.3375723
675	206.9979931
676	206.4549006
677	206.4220094
678	206.003632
679	205.5066625
680	205.4748962
681	205.2388116
682	205.2154718
683	205.0213009
684	204.7082546
685	204.4538569
686	204.176526
687	204.0305089
688	203.6739362
689	203.4981957
690	203.1984808
691	203.0309167
692	202.7013316
693	202.4484224
694	202.1381082
695	201.6972907
696	201.534369
697	201.2936765
698	201.2671355
699	201.1110113
700	200.9327629
701	200.5522947
702	200.2912059
703	200.0336209
704	199.9606426
705	199.9273124
706	199.4232978
707	199.2682782
708	198.8793376
709	198.6370595
710	198.4590079
711	198.2340249
712	198.081097
713	197.7685806
714	197.4957823
715	197.2996246
716	197.0634299
717	196.9069827
718	196.7137096
719	196.2735961
720	195.9927954
721	195.9617876
722	195.6569472
723	195.5884976
724	195.3094338
725	195.272064
726	194.9230692
727	194.8909366
728	194.7420343
729	194.3315779
730	194.0532457
731	194.0349874
732	193.6218133
733	193.368614
734	193.2709521
735	193.1138355
736	192.7503241
737	192.4822654
738	192.1488741
739	191.9359797
740	191.6507251
741	191.4042553
742	191.1801411
743	190.8608864
744	190.7079985
745	190.636318
746	190.3053676
747	190.1269005
748	189.7377249
749	189.4508119
750	189.066836
751	188.7539738
752	188.6049608
753	188.420687
754	188.2288882
755	188.1090967
756	187.8099695
757	187.6445569
758	187.4647113
759	187.3775403
760	187.2191521
761	186.9422399
762	186.6869321
763	186.3893968
764	186.2447019
765	185.9287752
766	185.6311215
767	185.3873393
768	185.0110505
769	184.6949309
770	184.5000717
771	184.0416956
772	183.8891253
773	183.7434568
774	183.5945754
775	183.2778006
776	183.1831054
777	182.9592866
778	182.7307749
779	182.5629917
780	182.2431903
781	182.0943411
782	181.6897916
783	181.4446421
784	181.2810888
785	181.1076887
786	180.8614898
787	180.5962849
788	180.2135803
789	179.7759141
790	179.557927
791	179.2225146
792	178.9676471
793	178.6742053
794	178.4572973
795	178.2904925
796	178.1418873
797	177.8627214
798	177.6806398
799	177.3259728
800	177.1655253
801	176.9871259
802	176.8476175
803	176.6765315
804	176.4438789
805	176.1905993
806	175.9880819
807	175.7082161
808	175.5283103
809	175.351661
810	175.2471005
811	174.8977033
812	174.7444049
813	174.5027206
814	174.361184
815	174.1168204
816	173.81569
817	173.5578591
818	173.1562418
819	172.9079127
820	172.5634473
821	172.4749302
822	172.1475805
823	171.9781737
824	171.7510328
825	171.5893876
826	171.3738712
827	171.1525601
828	171.0202976
829	170.7523471
830	170.4861181
831	170.2583952
832	169.9042957
833	169.7950899
834	169.4758101
835	169.3233644
836	169.0495355
837	168.5917784
838	168.3590185
839	168.0792635
840	168.0287991
841	167.919992
842	167.8270943
843	167.6220402
844	167.5980981
845	167.355187
846	167.1220593
847	166.918695
848	166.8222321
849	166.6506592
850	166.3873524
851	166.2717447
852	166.0995166
853	165.977893
854	165.8065726
855	165.5684708
856	165.4130487
857	165.277972
858	165.1102678
859	164.8865464
860	164.7434388
861	164.5380084
862	164.3095333
863	164.1635353
864	164.1385253
865	163.8418253
866	163.8286433
867	163.65658
868	163.4220353
869	163.1838587
870	162.939157
871	162.7801623
872	162.568117
873	162.3337805
874	162.137533
875	161.9080483
876	161.5958561
877	161.479934
878	161.0748062
879	160.818184
880	160.6997168
881	160.2463173
882	160.0691083
883	159.9610954
884	159.7270716
885	159.4937636
886	159.1661317
887	158.9410339
888	158.7911527
889	158.5854683
890	158.2685808
891	158.0820472
892	157.9940897
893	157.8481089
894	157.6533205
895	157.6386498
896	157.418572
897	157.2699273
898	157.2415016
899	157.0064876
900	156.891766
901	156.6772243
902	156.5448351
903	156.5282163
904	156.2539235
905	156.1961837
906	156.0028892
907	155.8408547
908	155.6207766
909	155.4229204
910	155.2186684
911	155.0400474
912	154.8723946
913	154.7550246
914	154.5128127
915	154.2458523
916	154.0504537
917	153.9195618
918	153.7502532
919	153.5853907
920	153.4653732
921	153.3244305
922	153.2233204
923	153.1371852
924	152.8182034
925	152.6503977
926	152.4609592
927	152.2800166
928	152.1832911
929	152.0506429
930	152.008812
931	151.983924
932	151.8374221
933	151.6148687
934	151.4796296
935	151.1961121
936	151.0074285
937	150.8623776
938	150.6525391
939	150.4637819
940	150.3012406
941	150.0214542
942	149.9263777
943	149.9067427
944	149.6793592
945	149.6332204
946	149.32374
947	149.1860218
948	149.0652373
949	148.9589147
950	148.8159076
951	148.6378582
952	148.3765171
953	148.1680056
954	147.9710088
955	147.8297266
956	147.7547012
957	147.5238094
958	147.492654
959	147.308892
960	147.1774964
961	147.0043802
962	146.8370442
963	146.7761904
964	146.7386009
965	146.5139428
966	146.3061807
967	146.0883558
968	145.9711702
969	145.7949336
970	145.6196254
971	145.4763394
972	145.3777363
973	145.2979788
974	145.1422622
975	144.9585379
976	144.8215735
977	144.5220008
978	144.4323599
979	144.2159212
980	144.0823159
981	143.877899
982	143.7606221
983	143.5350852
984	143.5080163
985	143.3523069
986	143.196197
987	142.8813295
988	142.6870749
989	142.6062852
990	142.5394095
991	142.5262997
992	142.367753
993	142.2021282
994	142.1473048
995	141.9753619
996	141.8076675
997	141.7001406
998	141.6238428
999	141.4922276
