btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trade_count,btc_vwap,btc_timestamp
29255.71,29682.29,28707.56,29676.79,848.87403,29639.0,29316.4446253671,2021-01-01
29678.34,34200.0,29555.99,33769.52,2144.592516,60152.0,31941.4126941485,2021-01-02
33769.52,34812.93,32300.61,32908.02,1838.695433,58725.0,33505.2694743146,2021-01-03
32907.36,33496.03,27900.0,30441.57,2711.189503,69226.0,31267.9651212849,2021-01-04
30461.84,35851.42,29927.55,35063.0,1756.751333,61880.0,33151.367357435,2021-01-05
35088.23,37810.0,33700.0,37485.27,1897.568734,65199.0,35720.8257623383,2021-01-06
37486.29,40410.02,35936.73,38009.79,2710.620043,71413.0,38472.947353316,2021-01-07
38018.16,41999.0,37595.44,39379.24,2199.033127,75991.0,40360.7053809145,2021-01-08
39301.47,41446.85,38789.12,40547.42,1133.603814,48582.0,40539.8998452685,2021-01-09
40544.78,41150.0,33550.0,34860.75,2961.388435,86949.0,37212.3525958163,2021-01-10
34883.83,36357.78,30365.5,35892.58,3881.031504,87384.0,33212.9555519558,2021-01-11
35894.6,36610.52,32357.25,33284.02,2034.619943,50604.0,34297.4111917937,2021-01-12
33284.04,38181.93,33160.88,37546.57,1929.205192,40059.0,36015.5417091478,2021-01-13
37549.9,40100.0,37460.29,37800.02,1282.270458,44296.0,38915.8477255186,2021-01-14
37800.02,38745.3,34362.01,35859.45,1604.522965,60017.0,36425.7469747331,2021-01-15
35865.83,37954.56,35370.0,35562.63,902.572116,39218.0,36598.4210029095,2021-01-16
35558.07,36846.47,33850.0,35349.37,883.104108,42277.0,35366.998907141,2021-01-17
35341.8,37434.5,35069.0,36312.15,824.678591,39735.0,36441.8224072149,2021-01-18
36310.33,37866.15,34779.05,35505.69,972.825907,40583.0,36460.0254787249,2021-01-19
35505.69,35942.45,33433.2,34569.16,1008.849125,47808.0,34702.3845290783,2021-01-20
34569.19,34997.39,28951.58,31795.0,3123.308189,59444.0,31209.4890407082,2021-01-21
31824.6,33868.4,30444.19,33384.16,1036.631931,29527.0,32386.6623369003,2021-01-22
33397.09,33490.65,31418.57,32872.34,539.931189,16527.0,32295.9264613691,2021-01-23
32894.73,33809.56,30950.03,33324.95,680.291359,19663.0,32357.4026120559,2021-01-24
33350.0,34888.0,31421.89,32097.0,831.863898,30365.0,33221.8352800401,2021-01-25
32080.13,32968.54,30852.0,31548.05,722.496795,38710.0,31917.0838405603,2021-01-26
31553.56,32010.0,29256.82,31778.65,1583.715237,55651.0,30695.3851616367,2021-01-27
31794.12,34400.0,30840.9,33045.47,1510.908261,57765.0,32993.1854724404,2021-01-28
33055.88,38673.14,31977.13,33517.18,2694.9827,84881.0,35658.5751865803,2021-01-29
33517.18,34836.61,33143.57,33761.43,728.078992,27302.0,34080.9319294976,2021-01-30
33773.39,34219.1,32200.0,33787.13,806.918374,38182.0,33109.9199200823,2021-01-31
33787.67,34707.6,33136.11,34009.33,959.144331,33983.0,33855.9906033151,2021-02-01
34027.73,36916.24,33954.16,36510.08,1091.302183,41032.0,35385.1568917138,2021-02-02
36506.68,38431.27,35561.35,37646.6,1120.459803,47786.0,37171.8727806135,2021-02-03
37634.49,38747.61,36182.22,37108.52,1591.085136,62831.0,37463.575276583,2021-02-04
37102.75,39699.95,37070.01,39051.0,1153.670297,55838.0,38439.0877929464,2021-02-05
39054.2,41019.93,38000.0,38571.85,1238.672877,63997.0,39759.6085362744,2021-02-06
38565.36,39736.17,37383.51,38700.0,932.225474,46244.0,38455.8146087919,2021-02-07
38712.8,47500.0,38658.96,46964.37,2876.161989,91292.0,44010.7643101578,2021-02-08
46957.6,48203.13,45040.0,46166.35,1420.610386,59671.0,46688.8856975675,2021-02-09
46168.8,47371.09,43750.0,44675.1,1361.970634,75486.0,45149.5100956754,2021-02-10
44697.12,48969.45,44444.48,47289.12,1765.386034,74578.0,47523.8885871809,2021-02-11
47289.12,48224.1,46231.52,47960.94,934.058092,47008.0,47576.8770363007,2021-02-12
47960.94,48997.7,46285.0,48938.82,804.437966,50609.0,47401.9828129884,2021-02-13
48942.87,49730.0,45691.42,46773.29,1209.900633,58594.0,48092.3803525264,2021-02-14
